id,location_id,name,category,avg_rating,review_count,entry_fee,opening_hours,created_at,updated_at,latitude,longitude,description,best_season,avg_visit_time,transport,nearby_hotels,nearby_restaurants
plc-shore-temple,loc-cgl,Shore Temple Mamallapuram,Heritage,4.7,4850,40.00,06:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,12.6168,80.1993,"Shore Temple Mamallapuram is a notable heritage attraction located in Chengalpattu, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-pancha-rathas,loc-cgl,Pancha Rathas (Five Rathas),Heritage,4.6,3420,40.00,06:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,12.6109,80.1933,"Pancha Rathas (Five Rathas) is a notable heritage attraction located in Chengalpattu, popular among visitors exploring the region.",Oct-Feb,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Hotels/guesthouses of various budgets available in and around Chengalpattu,Local & multi-cuisine restaurants available in and around Chengalpattu
plc-arjuna-penance,loc-cgl,Descent of the Ganges (Arjuna's Penance),Heritage,4.7,2980,0.00,06:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,12.6162,80.1927,"Descent of the Ganges (Arjuna's Penance) is a notable heritage attraction located in Chengalpattu, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-butter-ball,loc-cgl,Krishna's Butter Ball,Historical,4.5,4120,0.00,06:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,12.6154,80.1937,"Krishna's Butter Ball is a notable historical attraction located in Chengalpattu, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-mahabs-lighthouse,loc-cgl,Mahabalipuram Lighthouse,Historical,4.4,1850,10.00,10:00 - 17:30,2026-09-04 00:00:00,2026-09-04 00:00:00,12.6175,80.1991,"Mahabalipuram Lighthouse is a notable historical attraction located in Chengalpattu, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-varaha-cave,loc-cgl,Varaha Cave Temple,Heritage,4.6,1240,0.00,06:00 - 18:00,2026-09-04 00:00:00,2026-09-04 00:00:00,12.6158,80.193,"Varaha Cave Temple is a notable heritage attraction located in Chengalpattu, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-seashell-museum,loc-cgl,India Seashell Museum,Museum,4.4,2150,150.00,08:00 - 20:00,2026-09-04 00:00:00,2026-09-04 00:00:00,12.6194,80.1977,"India Seashell Museum is a notable museum attraction located in Chengalpattu, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-mahabs-beach,loc-cgl,Mahabalipuram Beach,Beach,4.4,3200,0.00,24 Hours (Best: 05:30 - 18:30),2026-09-04 00:00:00,2026-09-04 00:00:00,12.62,80.1985,UNESCO World Heritage shore temple and rock-cut monuments from the Pallava dynasty.,Nov-Feb,2-3 hours,Bus/Train (Chennai ~60 km)/Flight (Chennai airport),Beach resorts and hotels along ECR,Seafood & South Indian restaurants
plc-tiger-cave,loc-cgl,Tiger Cave Saluvankuppam,Historical,4.3,1650,0.00,07:00 - 19:00,2026-09-04 00:00:00,2026-09-04 00:00:00,12.5719,80.1934,"Tiger Cave Saluvankuppam is a notable historical attraction located in Chengalpattu, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-vedanthangal,loc-cgl,Vedanthangal Bird Sanctuary,Nature,4.5,2300,25.00,06:00 - 18:00 (Nov to Mar),2026-09-04 00:00:00,2026-09-04 00:00:00,12.5466,79.8541,"Vedanthangal Bird Sanctuary is a notable nature attraction located in Chengalpattu, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-kailasanathar,loc-kpm,Kailasanathar Temple,Heritage,4.8,2850,0.00,"06:00 - 12:00, 16:00 - 20:00",2026-09-04 00:00:00,2026-09-04 00:00:00,12.8459,79.6999,"Kailasanathar Temple is a notable heritage attraction located in Kanchipuram, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
